FavouritesCount,FriendsCount,StatusesCount,isVerified,isTranslator,location,Lang,isRetweetedByMe
7845,248,13660,false,false,White Hart Lane,en,false
7580,991,1443,false,false,Barpeta- India,en,false
13145,1231,18237,false,false,somewhere in the universe,en,false
556,80,676,false,false,Maidenhead- England,en,false
42576,22481,918218,false,false,Birmingham- England,en,false
16728,7477,16905,false,false,England,en,false
21757,907,4591,false,false,Essex / London,en,false
128638,3577,22582,false,false,Chicago- IL,en,false
1609,393,2148,false,false,Ohio,en,false
25702,722,9474,false,false,Championship,en,false
495,310,27476,false,false,Folkestone- England,en,false
615,1145,309,false,false,Coventry- England,en,false
54,32,1888,false,false,Wales- United Kingdom,en,false
6911,793,21733,false,false,UK,en,false
82461,799,17317,false,false,null,en,false
1872,758,4879,false,false,null,en,false
4582,389,14524,false,false,null,en,false
10614,482,188040,true,false,United Kingdom,en,false
11204,315,5006,false,false,null,en,false
186,72,384,false,false,null,en,false
1979,366,5045,false,false,Palm Bay- FL,en,false
556,80,676,false,false,Maidenhead- England,en,false
566,322,13687,false,false,null,en,false
2647,714,6004,false,false,@irelands4courts - Arlington,en,false
173,193,1805,false,false,null,en,false
93047,823,79609,false,false,Minden Hills- Ontario,en,false
386,244,7588,false,false,null,en,false
3402,1014,2007,false,false,Takoradi- Ghana,en,false
1127,348,2323,false,false,null,en,false
9781,1100,4659,false,false,Dagenham,en-GB,false
7351,3381,6295,false,false,null,en,false
12,219,84,false,false,Pianeta Terra,it,false
2435,292,14791,false,false,Cape Town- South Africa,en,false
4174,388,2135,false,false,sydney,en,false
495,310,27476,false,false,Folkestone- England,en,false
41,371,350,false,false,Springfield- MA,en,false
1605,1121,4133,false,false,London- England,en,false
18612,11625,38785,false,false,St Petersburg Beach- FL ??,en,false
22514,162,14427,false,false,Manchester- England,fr,false
605,39,274,false,false,null,en,false
2330,484,16305,true,false,null,fr,false
5155,1894,6953,false,false,Antrim- Northern Ireland,en,false
21717,231,34112,false,false,Xan Antonio- TX,en,false
16513,6667,36823,false,false,Join as a member,en,false
1339,1831,43416,false,false,Hampshire UK,en,false
3098,361,128197,false,false,null,fr,false
3098,361,128198,false,false,null,fr,false
322,141,1402,false,false,Liverpool- England,en-gb,false
8047,669,7421,false,false,null,en,false
8,292,2865,false,false,null,en,false
695,62,35,false,false,West Midlands- England,en,false
3050,174,139,false,false,null,en,false
148651,464,213311,false,false,Colombus O.H.I.O 614 ,fr,false
18220,1166,51876,false,false,DPRV/HR,en,false
4820,900,20800,false,false,Salisbury- Wiltshire,en,false
0,0,5754,false,false,null,en,false
4758,1495,3241,false,false,New South Wales- Australia,en,false
3200,287,45319,false,false,Rio de Janeiro- Brazil,en,false
42643,1273,33184,false,false,null,en,false
130012,923,49540,false,false,#IAG,en,false
1199,131,5205,false,false,null,en,false
238,116,247115,false,false,Abidjan ,fr,false
2821,368,9369,false,false,null,en,false
153,121,156,false,false,Dubai- United Arab Emirates,en,false
19102,520,10166,false,false,Texas,en,false
19335,329,5410,false,false,Dudley- England,en-gb,false
122104,2233,39887,false,false,City of Manchester- England,en,false
0,3,151552,false,false,null,en,false
56440,4308,68100,false,false,null,en,false
52961,428,7662,false,false,Hong Kong,en,false
11639,2793,23167,false,false,under the stairs,en,false
2269,61,3109,false,false,Lenoir- NC,en,false
47,78,111,false,false,Belfast- Northern Ireland,en,false
2436,292,14793,false,false,Cape Town- South Africa,en,false
11102,2784,54200,false,false,null,en,false
38273,578,10984,false,false,horRRinG,en,false
315,2429,19776,false,false,New Gotham!! ,en,false
7,66,6,false,false,null,pt,false
821,930,3619,false,false,Northern Ireland- United Kingdom,en,false
25,221,3287,false,false,Depok- Indonesia,en,false
848,147,2305,false,false,Naples- FL,en,false
44285,737,6658,false,false,Stockholm,en,false
8767,566,4928,false,false,null,en,false
5168,1060,16420,false,false,North West- England,en,false
10851,2744,1342,false,false,Manchester- England,en,false
15112,3962,48110,false,false,Taipei City- Taiwan,en,false
486,39,1078,false,false,Oberbergischer Kreis- Nordrhein-Westfalen,de,false
4064,2321,6490,false,false,null,en,false
763,1120,15681,false,false,Chesterfield- Derbyshire,en,false
848,147,2306,false,false,Naples- FL,en,false
214,106,2080,false,false,null,en,false
13953,1982,11370,false,false,Warren- RI,en,false
4064,2321,6492,false,false,null,en,false
7106,347,7019,false,false,null,en,false
26,295,5972,false,false,?T: -2.988872-104.7596,en,false
18875,942,61213,false,false,Premier League & deluded ,en,false
0,3,4636,true,false,null,en,false
8397,2503,19222,false,false,Mike Leigh,en,false
82,1971,15335,true,false,Paris ,fr,false
239,456,1765,false,false,null,en,false
52664,448,83413,false,false,null,en,false
9270,1225,13489,false,false,Wakanda,en,false
1261,242,77144,false,false,Chester ,en,false
36,48,56,false,false,Toronto- Ontario,en,false
11102,2784,54201,false,false,null,en,false
9989,1288,13768,false,false,Wales,en,false
699,33,2622,false,false,Pittsburgh- PA,en,false
2,29,1339,false,false,The World,en,false
21421,810,27079,false,false,planet earth,en,false
4419,4879,23300,false,false,null,en,false
5692,244,5930,false,false,null,en,false
437,132,1579,false,false,Wasquehal- Nord-Pas-de-Calais,fr,false
999,469,41922,false,false,null,en,false
379,148,1735,false,false,Derby,en,false
83,593,28132,true,false,Meudon- France,fr,false
345,195,1608,false,false,null,en,false
10704,309,4033,false,false,null,en,false
6685,1776,2987,false,false,null,en-GB,false
38,106,3045,false,false,Pittsburgh- PA,en,false
2332,484,16307,true,false,null,fr,false
1818,433,1911,false,false,Dijon- France,fr,false
7141,446,9247,false,false,india,en,false
3070,430,1375,false,false,Nottingham- England,en,false
7713,260,32481,false,false,null,en,false
7106,347,7019,false,false,null,en,false
37046,464,22787,false,false,meanwhile in.....texas,en,false
314,714,559,false,false,London,en,false
1993,797,69981,false,false,Melbourne- Australia,en,false
50908,1332,31348,false,false,Chicago- IL,en,false
891,360,6975,false,false,null,en,false
957,407,33627,false,false,Marseille- France,fr,false
7259,1670,2463,false,false,Boston- MA,en,false
4109,1305,9522,false,false,Walsall- UK,en,false
3,87,6909,false,false,null,en,false
1419,160,510,false,false,United Kingdom,en,false
399,99,808,false,false,NYC,fr,false
955,1297,6002,false,false,null,en,false
2598,123,4551,false,false,liverpool,en,false
696,62,37,false,false,West Midlands- England,en,false
1195,79,1723,false,false,null,fi,false
4070,3641,101453,false,false,widnes,en,false
15775,231,204,false,false,null,en,false
4844,778,2950,false,false,null,en,false
7,146,2175,false,false,null,en,false
2154,931,21192,false,false,Lagos- Nigeria,en,false
93877,3911,140779,false,false,null,en,false
5,71,2,false,false,London- England,en,false
43162,3755,25257,false,false,Yateley- Hampshire,en,false
853,1308,25418,false,false,Badagry- Nigeria,en,false
12056,1216,9074,false,false,null,en,false
2,397,2,false,false,null,en,false
1507,42,1766,false,false,earth,en,false
11976,218,20627,false,false,null,en,false
4718,2275,23283,false,false,Vermont,en,false
